id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
199,46,GO,Goiânia,St Universitario ,Feminino,Rock,Bebo Socialmente,Sim,Sim,1x por semana,40,50,Tanto Faz,Não,Não,Vida simples com família,2025-04-01 02:45:32
201,31,GO,Goiânia,Novo Horizonte ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,28,40,Sim,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 02:46:48
202,35,GO,Goiânia,Parque Amazônia ,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,30,45,Não,Não,Não,Vida simples com família,2025-04-01 02:47:20
204,25,GO,Goiânia,Capuava,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,24,40,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 02:50:52
207,30,GO,Goiânia,Bela vista ,Feminino,Sertanejo,Bebo Socialmente,Não,Sim,Diariamente,30,49,Sim,Não,Não,Equilíbrio material/espiritual,2025-04-01 03:01:18
208,32,GO,Aparecida de Goiânia,Independência ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,18,18,Não,Sim,Não,Vida simples com família,2025-04-01 03:02:49
213,28,GO,Goiânia,Cidade Jardim,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,28,34,Sim,Tanto Faz,Sim,Vida simples com família,2025-04-01 03:14:19
215,28,GO,Goiânia,Leste universitário ,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,26,33,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 03:19:39
218,30,GO,Aparecida de Goiânia,Residencial Cândido de Queiroz ,Feminino,Rock,Bebo Socialmente,Não,Não,3x por semana,29,40,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 03:31:07
219,32,GO,Goiânia,Sul,Feminino,Pagode,Nos Finais de Semana,Não,Não,3x por semana,28,40,Sim,Tanto Faz,Não,Experiências e viagens,2025-04-01 03:37:13
220,36,GO,Goiânia,Urias Magalhães ,Feminino,Sertanejo,Não Bebo,Não,Sim,Diariamente,30,45,Sim,Não,Não,Vida simples com família,2025-04-01 03:39:00
221,46,GO,Goiânia,Jardim america,Feminino,Rock,Bebo Socialmente,Sim,Sim,1x por semana,36,52,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 03:43:47
222,28,GO,Goiânia,Vila Santa helena ,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,3x por semana,25,43,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 03:45:19
224,27,GO,Goiânia,Jardim America ,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,25,45,Não,Não,Não,Experiências e viagens,2025-04-01 03:47:15
227,28,GO,Goiânia,Vereda dos Buritis,Masculino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,18,32,Sim,Não,Não,Equilíbrio material/espiritual,2025-04-01 04:10:15
230,19,GO,Goiânia,Vale dos sonhos ,Feminino,Rock,Bebo Socialmente,Não,Não,1x por semana,19,24,Não,Não,Não,Vida simples com família,2025-04-01 04:29:14
233,34,GO,Goiânia,Parque Atheneu ,Feminino,MPB,Bebo Socialmente,Sim,Sim,3x por semana,35,45,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 04:45:13
234,24,GO,Aparecida de Goiânia,Jardim Alto Paraíso,Feminino,Rock,Não Bebo,Não,Não,3x por semana,19,23,Sim,Sim,Sim,Equilíbrio material/espiritual,2025-04-01 04:49:37
235,42,GO,Goiânia,Sudoeste,Masculino,Rock,Bebo Socialmente,Não,Não,Diariamente,30,45,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 04:49:51
237,37,GO,Aparecida de Goiânia,Veiga JD ,Feminino,Rock,Não Bebo,Não,Não,Diariamente,25,50,Sim,Sim,Sim,Experiências e viagens,2025-04-01 07:32:37
238,24,GO,Goiânia,Alvorada,Feminino,Pop,Bebo Socialmente,Não,Não,3x por semana,26,50,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 07:36:30
239,33,GO,Aparecida de Goiânia,Independência Mansões ,Masculino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,20,39,Não,Não,Não,Experiências e viagens,2025-04-01 07:40:42
240,48,GO,Goiânia,Atheneu ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,40,55,Tanto Faz,Sim,Tanto Faz,Experiências e viagens,2025-04-01 08:18:02
241,29,GO,Goiânia,Vila nova ,Feminino,MPB,Bebo Socialmente,Não,Sim,Não gosto,18,59,Tanto Faz,Sim,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 08:37:58
242,53,GO,Goiânia,São Francisco ,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,54,18,Não,Não,Não,Riqueza espiritual,2025-04-01 08:47:34
243,39,GO,Goiânia,Bueno ,Feminino,Rock,Nos Finais de Semana,Não,Sim,1x por semana,35,45,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 08:59:22
249,29,GO,Aparecida de Goiânia,Jardim Bela Vista,Masculino,Pagode,Não Bebo,Não,Não,Diariamente,24,32,Não,Sim,Não,Experiências e viagens,2025-04-01 09:30:46
250,29,GO,Aparecida de Goiânia,Jardim Bela Vista,Masculino,Pagode,Não Bebo,Não,Não,Diariamente,23,33,Não,Sim,Não,Experiências e viagens,2025-04-01 09:41:52
251,52,GO,Goiânia,St bela vista ,Feminino,Rock,Bebo Sempre,Não,Não,1x por semana,50,60,Não,Não,Não,Riqueza espiritual,2025-04-01 09:42:00
254,36,GO,Goiânia,Setor Central,Feminino,Pagode,Bebo Socialmente,Sim,Sim,3x por semana,37,48,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 09:55:18
255,42,GO,Goianira,Pq das Camélia ,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,1x por semana,40,60,Não,Não,Não,Riqueza espiritual,2025-04-01 09:57:15
256,43,GO,Goiânia,Vila Rosa ,Feminino,MPB,Não Bebo,Sim,Sim,1x por semana,40,53,Não,Sim,Não,Riqueza espiritual,2025-04-01 09:59:22
257,26,GO,Goiânia,Jardim Guanabara,Feminino,MPB,Não Bebo,Não,Sim,3x por semana,27,30,Sim,Sim,Não,Equilíbrio material/espiritual,2025-04-01 10:10:16
258,31,GO,Goiânia,Jd planalto,Feminino,Sertanejo,Não Bebo,Não,Não,1x por semana,32,43,Sim,Sim,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 10:11:22
260,40,GO,Aparecida de Goiânia,Parque Flamboyant ,Feminino,Sertanejo,Não Bebo,Sim,Sim,Não gosto,40,46,Tanto Faz,Sim,Tanto Faz,Riqueza espiritual,2025-04-01 10:16:44
261,31,GO,Goiânia,Vila União ,Feminino,Sertanejo,Não Bebo,Sim,Não,1x por semana,31,40,Não,Sim,Não,Riqueza espiritual,2025-04-01 10:21:45
